sep=;
Change-Id=Idde6c0080bdcd3206f49d9335b9baaa342611895; subject=IB/core: Enable out of order data placement; feature=ooo; upstream_status=in_progress; general=;
Change-Id=I5f301887f80211872ab5e2effee94f5cf69617cd; subject=net/mlx5: Prefix PF number for SF eswitch vports; feature=mlx5_sfs; upstream_status=in_progress; general=;
Change-Id=I1ffd28e0aa9a3b5e0069b9507fcf6e5eb3469ef4; subject=net/mlx5e: Revert PF representor name to be old way; feature=mlx5_core_bugs; upstream_status=NA; general=;
Change-Id=I5a034d378a9d74cd6ee099b2a72858c860063967; subject=net/mlx5: Use vhca_id based phys_port_name; feature=mlx5_sfs; upstream_status=in_progress; general=;
Change-Id=I994fdba18b0b6774d69ff2321825345fc866b972; subject=net/mlx5e: Prefix mdev/SF vport number with its PCI function; feature=mlx5_sfs; upstream_status=in_progress; general=;
Change-Id=Ib696ba318d67ea75c8b5ef4cc97c0a5c8197937c; subject=IB/core: Work on the caller socket net namespace in nldev_newlink(); feature=rdma_netns; upstream_status=accepted; general=;
Change-Id=Ic58804f32abda0d51f1c8847ee130a1bf443c072; subject=Support netlink commands in non init_net net namespaces; feature=rdma_netns; upstream_status=accepted; general=;
Change-Id=I6897a5e9d50eec7505485e951ab0691a2998ffb3; subject=net/mlx5: Introduce and use is_esw_manager_vport(); feature=mlx5_sfs; upstream_status=accepted; general=;
Change-Id=I1740edc8027269bec02d030233608722a7d1a063; subject=net/mlx5: E-switch Align vport index name with upstream; feature=mlx5_sfs; upstream_status=accepted; general=;
Change-Id=Ia342f206b3be13f03e7021561aaa15e89e5e6bce; subject=net/mlx5: Make load_one() and unload_one() symmetric; feature=mlx5_sfs; upstream_status=accepted; general=;
Change-Id=I988e6a52e73bdee479365d08f14281bc828903fc; subject=net/mlx5: Reduce dependency on enabled_vfs counter and num_vfs; feature=mlx5_sfs; upstream_status=accepted; general=;
Change-Id=I055e72d62ba8866985872e717c6e8fe5506aa3de; subject=net/mlx5: Move pci status reg access mutex to mlx5_pci_init; feature=mlx5_sfs; upstream_status=accepted; general=;
Change-Id=I8349182d9f87ff34ad1589d5f4b2157f0f02ae96; subject=net/mlx5: Sync max_vfs initialization with upstream; feature=mlx5_sfs; upstream_status=NA; general=;
Change-Id=Ic5edcc99f693d7625ecd4dfe8f92e7b0fa92f065; subject=net/mlx5: Introduce a helper API to check VF vport; feature=mlx5_sfs; upstream_status=accepted; general=;
Change-Id=I102dc85f7d31e614316e05d7399df8afeaf828ab; subject=net/mlx5: Add hardware definitions for sub functions; feature=mlx5_sfs; upstream_status=accepted; general=;
Change-Id=I82e8f8b5a633f70552397f90c3f361eea2d10d5a; subject={IB, net}/mlx5: No need to typecast from void* to mlx5_ib_dev*; feature=mlx5_sfs; upstream_status=accepted; general=;
Change-Id=I055441a6180c9b775f82069c5b8db53b172e2061; subject={IB,net}/mlx5: Constify rep ops functions pointers; feature=mlx5_sfs; upstream_status=accepted; general=;
Change-Id=If344737379693340ada701a1c54863cf03aa7ba5; subject=net/mlx5e: Set drvinfo in generic manner; feature=mlx5_sfs; upstream_status=accepted; general=;
Change-Id=I4850f97aad860d32c52c670bd75c685e1b3452a4; subject=net/mlx5: E-Switch prepare functions change handler to be modular; feature=mlx5_sfs; upstream_status=accepted; general=;
Change-Id=I117fcd4ec7970ab7b9dd6617e54efe38064213b0; subject=net/mlx5: E-switch, Combine metadata enable/disable functionality; feature=mlx5_sfs; upstream_status=accepted; general=;
Change-Id=I812121093f5ea0bf3e5b5cb86941c43f983fff6a; subject=net/mlx5: E-switch, Initialize TSAR Qos hardware block before its user vports; feature=mlx5_sfs; upstream_status=accepted; general=;
Change-Id=I83077fbc8494fb895598f04dc525c28cb8a2329e; subject=net/mlx5: E-switch, Disable QoS if enabling eswitch fails; feature=mlx5_sfs; upstream_status=accepted; general=;
Change-Id=I5d95cc92323f8bd3f93088613bd72c75d5c819a1; subject=net/mlx5: E-switch, Use own vport for metadata setting; feature=mlx5_sfs; upstream_status=in_progress; general=;
Change-Id=Iead99e53f5e35c2b941ab4ad554f127387118ac2; subject=net/mlx5: E-switch, Enable metadata on ECPF; feature=mlx5_sfs; upstream_status=in_progress; general=;
Change-Id=I837b288c8b2d47e65b198e7cc4dc280f9e5a8f33; subject=net/mlx5: Treat host PF vport as other (non eswitch manager) vport; feature=mlx5_asap; upstream_status=in_progress; general=;
Change-Id=I4f5983574fce85cb52092bedbabba94573f58bdf; subject=net/mlx5: Consider non eswitch manager mode; feature=mlx5_asap; upstream_status=in_progress; general=;
Change-Id=I47fc5eb7e4885db2db39aa8b7b6d0ef576879511; subject=net/mlx5e: Apply DECAP action only if tunnel config is enabled; feature=mlx5_asap; upstream_status=in_progress; general=;
Change-Id=I1e1e116a91b837964356e185a6fc95f64f68a68e; subject=net/mlx5: Refactor mlx5_esw_query_functions for modularity; feature=mlx5_sfs; upstream_status=accepted; general=;
Change-Id=I67843e5265ed92d3478ba911190347b04ddd9848; subject=net/mlx5: E-switch, Introduce helper function to enable/disable vports; feature=mlx5_sfs; upstream_status=accepted; general=;
Change-Id=Idc0036fbbf8f895b87efb46be09b4a5123e49099; subject=net/mlx5: E-Switch, Remove redundant mc_promisc NULL check; feature=mlx5_sfs; upstream_status=accepted; general=;
Change-Id=Iafca7796a3473a41b98a385cab0783ec277f92d1; subject=net/mlx5: E-switch, Tide up eswitch config sequence; feature=mlx5_sfs; upstream_status=accepted; general=;
Change-Id=I964f7fa100fd7d6c8c75d80c85bb5484c2905a67; subject=net/mlx5: Introduce SF table framework; feature=mlx5_sfs; upstream_status=in_progress; general=;
Change-Id=Iee90459e99c1ef912a61e353635e5e6b3a46aee4; subject=net/mlx5: Introduce SF life cycle APIs to allocate/free; feature=mlx5_sfs; upstream_status=in_progress; general=;
Change-Id=Ibf871b5d091df9447445ef94eac5730a09f73ae6; subject=net/mlx5: E-Switch, Enable/disable SF's vport during SF life cycle; feature=mlx5_sfs; upstream_status=in_progress; general=;
Change-Id=I5a50f8248489a8059017769b8e33ca66a89bb011; subject=net/mlx5: Introduce and use mlx5_core_to_devlink API; feature=mlx5_sfs; upstream_status=in_progress; general=;
Change-Id=Ie915e8faa38ded7e71e02f738b1a4413d774971a; subject=net/mlx5: Remove check active SFs; feature=mlx5_sfs; upstream_status=in_progress; general=;
Change-Id=I43e0ac7eb174e688d76c0bc0535756cd48e237f8; subject=net/mlx5: Add load/unload routines for SF driver binding; feature=mlx5_sfs; upstream_status=in_progress; general=;
Change-Id=Ief079707997860b82d582b333737e64caa3118d4; subject=net/mlx5: Implement dma ops and params for mediated device; feature=mlx5_sfs; upstream_status=in_progress; general=;
Change-Id=Ief03cfad464c4aa817c55791003c622ff8654058; subject=net/mlx5: Add mdev driver to bind to mdev devices; feature=mlx5_sfs; upstream_status=in_progress; general=;
Change-Id=Iee35b4d45b07e556301009fa60b76dd4f0824319; subject=net/mlx5: Avoid touching PCI sysfs group for SF; feature=mlx5_sfs; upstream_status=in_progress; general=;
Change-Id=Ie18ad79cd7d6aacf7ceee064f443c5c795d96942; subject=net/mlx5: Implement mac address setting for SF vport; feature=mlx5_sfs; upstream_status=in_progress; general=;
Change-Id=I6e0df14a3225d69ceaf1ce25829de22ef0312b35; subject=net/mlx5: Correctly add query for mac address; feature=mlx5_sfs; upstream_status=in_progress; general=;
Change-Id=Iadefd69f9dfd76e4c844779d9a636b36f2cf51e1; subject=net/mlx5: Expose rep netdevice name for the mdev representor; feature=mlx5_sfs; upstream_status=in_progress; general=;
Change-Id=I0f379a619151cdf2b8ec62b952c05cfbb64a8c78; subject=net/mlx5: Fix merge error; feature=mlx5_sfs; upstream_status=in_progress; general=;
