sep=;
Change-Id=I46e8bd560b1add934e4888f02965fd638cef8c41; subject=IB/core: Add retries to the API of all send_mad functions; feature=send_mad_retries; upstream_status=in_progress; general=;
Change-Id=I2da94f3a9ad45f166f040a1765970ba0b6d7f212; subject=IB/{uverbs, core}: Add exp query mkey; feature=exp_query_mkey; upstream_status=NA; general=;
Change-Id=I8f80bb66a1661f843e085330a204f5b8756ebc28; subject=IB/mlx5: Add support for exp query mkey; feature=exp_query_mkey; upstream_status=NA; general=;
Change-Id=I96528e31997df1d1947543fd99d069097172986e; subject=IB/core: Use uverbs_copy_from/to_udata instead of copy_from/to_user; feature=scif_mic; upstream_status=NA; general=;
Change-Id=Iab4531e86f40a822be41bba5f2e455e55354763b; subject=IB/core: Add Scatter FCS capability and create flags; feature=exp_scatter_fcs; upstream_status=NA; general=;
Change-Id=I4761a0ff5010dbc4471b32b62c3ff024a03f9f96; subject=IB/mlx5: Report EXP Scatter FCS device capability when supported; feature=exp_scatter_fcs; upstream_status=NA; general=;
Change-Id=I5a7cbc11ce2354407b96188e519ed2e90da042a9; subject=IB/mlx5: Add WQ scatter FCS support; feature=exp_scatter_fcs; upstream_status=NA; general=;
Change-Id=I81f770f5a171a802ebc3f8462a4832113a798c7a; subject=IB/mlx5: Change locking and index on mkey radix tree; feature=mlx5_ib_bugs; upstream_status=in_progress; general=;
Change-Id=I0d6edb02e9131ca6a59ce56be02c0d6d4fcf140a; subject=IB/core: Fix memory leak in cma configfs; feature=ib_core_bugs; upstream_status=in_progress; general=;
Change-Id=I1c106d0605879b2874f7c99cb758066b8eb314ca; subject=IB/uverbs: Add disable raw qp module param; feature=ib_core_bugs; upstream_status=NA; general=;
Change-Id=Ib7eb35344874a00c66fc5dcf8e9056ca5e5b531b; subject=IB/mlx5: Add dynamic UAR; feature=dynamic_uar; upstream_status=NA; general=;
Change-Id=I48881c922242156e43c05b14bdd061aabd6655c6; subject=ib/mlx5: When in switchdev mode don't users of mlx5 debugfs root; feature=mlx5_ib_reps; upstream_status=in_progress; general=;
Change-Id=I889603e7706f7973e51048c0b22ea8d22fd00be8; subject=ib/mlx5: When in switchdev mode, expose only raw packet capabilities; feature=mlx5_ib_reps; upstream_status=in_progress; general=;
Change-Id=Ie2d81e9c0db6ac58f7a56e0ad1aa6cd92a9781d9; subject=net/mlx5: E-Switch, Add sysfs to set minimum tx rate on PF; feature=mlx5_core_sriov_pf_tx_rate; upstream_status=in_progress; general=;
Change-Id=I4ba281919f12cd936bc4bf0aa6f0345d1f12641b; subject=IB/mlx5: Add TCLASS complex matching rules; feature=mlx5_force_tc; upstream_status=NA; general=;
Change-Id=I55b9e189245073013e039bd6fc2d1d39dd075c1b; subject=IB/mlx5: Updated traffic class on all QPs; feature=mlx5_force_tc; upstream_status=NA; general=;
Change-Id=I4decdfc2d288e317e14225e9319018a9ab5eb231; subject=IB/mlx5: Add TTL global value sysfs; feature=mlx5_set_ttl; upstream_status=NA; general=;
Change-Id=I7d3c56e82168f3534515202b666e1c37212bea92; subject=IB/uverbs: Remove EXP DM object; feature=flow_actions; upstream_status=in_progress; general=;
Change-Id=I4a9b0ba8071dc48b0aa3fde5a20fdf75df268937; subject=RDMA/mlx5: Fix TX affinity assignemnt when in RoCE lag; feature=sw_steering; upstream_status=in_progress; general=;
Change-Id=I0828426f7f73c889ac1ebd2d01357d4a912ad1e9; subject=RDMA/mlx5: ingress_log_flow_table_size should be part of the flow DB; feature=50k_rules; upstream_status=NA; general=;
Change-Id=I10e03f9ce2fad129a8cbe6582861dc6c3b22a0c3; subject=net/mlx5: E-Switch, Add match on vhca id to default send rules; feature=mlx5_single_fdb_lag; upstream_status=in_progress; general=;
Change-Id=I03fcc93227886ce45c8a18fcdaedf9a67331f6d0; subject=net/mlx5: E-Switch, Refactor setting source port; feature=mlx5_single_fdb_lag; upstream_status=in_progress; general=;
Change-Id=Id5d02fb294ada4187ef41042f2a4c9ba4f84c74f; subject=net/mlx5: E-Switch, Use metadata on default send to vport rules; feature=mlx5_single_fdb_lag; upstream_status=in_progress; general=;
Change-Id=I3770cb9c6268ec33339f6cc57b298f412066ae3b; subject=net/mlx5: E-Switch, Add eswitch pointer to each rep; feature=mlx5_single_fdb_lag; upstream_status=in_progress; general=;
Change-Id=I7ca5f575f38d77acaad771db9306322d73bda414; subject=RDMA/mlx5: Use rep esw when getting netdev and metadata; feature=mlx5_single_fdb_lag; upstream_status=in_progress; general=;
Change-Id=Ib13090446ffca7dfacec6b9f603869f02c21b96b; subject=net/mlx5: E-Switch, Add event callback for representors; feature=mlx5_single_fdb_lag; upstream_status=in_progress; general=;
Change-Id=I4acc461dd7a1ec54826f7089ce456b646d1bcc02; subject=net/mlx5: Enable/disable lag in state transition; feature=mlx5_single_fdb_lag; upstream_status=in_progress; general=;
Change-Id=I45c75a3afed662f57992c379fd854f49fc590f75; subject=net/mlx5: Export function that tells if device is the lag master; feature=mlx5_single_fdb_lag; upstream_status=in_progress; general=;
Change-Id=I05676c57c13fc31855ce92a703542e5d5d011458; subject=RDMA/uverbs: set 64 bit flags; feature=mlx5_single_fdb_lag; upstream_status=in_progress; general=;
Change-Id=I96d2222f77ba81ebbccb8a32d8d910efd4452cd2; subject=BACKPORTS; feature=mlx5_single_fdb_lag; upstream_status=in_progress; general=;
Change-Id=I5761663db76e254401c1b9defd85a3eda7da9168; subject=net/mlx5e: LACP owner shouldn't remap TISes; feature=mlx5_vf_lag; upstream_status=in_progress; general=;
Change-Id=Iddaa055bc3e5090354763dcab675b6017ed960c8; subject=net/mlx5: Add IFC bits for single FDB mode; feature=mlx5_single_fdb_lag; upstream_status=in_progress; general=;
Change-Id=I28890b56d45b9b373ec0a148efe86b623023a93d; subject=net/mlx5: E-Switch, Refactor send to vport to be more generic; feature=mlx5_single_fdb_lag; upstream_status=in_progress; general=;
Change-Id=I826fb20ffcdf647c12fa8457be47c0addde1e235; subject=net/mlx5: Add send to vport rules on paired device; feature=mlx5_single_fdb_lag; upstream_status=in_progress; general=;
Change-Id=I02e47e0f63e80a8938313ec5a5a394de8e07350b; subject=net/mlx5: E-Switch, base logic for single FDB; feature=mlx5_single_fdb_lag; upstream_status=in_progress; general=;
Change-Id=I24cda925be11bf00df7f5be9f21caca61d8b3710; subject=net/mlx5: Update FDB root in single FDB; feature=mlx5_single_fdb_lag; upstream_status=in_progress; general=;
Change-Id=Ib9621a4200c8512f5b4498dd6ebdb3d36fca9dc7; subject=net/mlx5: Add core lag single fdb logic; feature=mlx5_single_fdb_lag; upstream_status=in_progress; general=;
Change-Id=I5a28457a0e346938a843d56bfc2d905c64ea382e; subject=net/mlx5: Make sure we add/remove lag with proper locking; feature=mlx5_single_fdb_lag; upstream_status=in_progress; general=;
Change-Id=I11c2df1ae33503a19d194c6c28a15445f2d3df42; subject=net/mlx5: Manage ldev with kref; feature=mlx5_single_fdb_lag; upstream_status=in_progress; general=;
Change-Id=Ib3d69e43c611f8023c3b224c64418626228a54e0; subject=RDMA/mlx5: Add single FDB IB device support; feature=mlx5_single_fdb_lag; upstream_status=in_progress; general=;
Change-Id=Ibc87ef1371fecd5683a3c0cddb316b3849a091de; subject=RDMA/mlx5: Add devx query IB port; feature=mlx5_single_fdb_lag; upstream_status=in_progress; general=;
Change-Id=I815947aa7672af816593d31a2deaff5737f4add5; subject=net/mlx5e: Build tc to tx mapping; feature=mlx5_single_fdb_lag; upstream_status=in_progress; general=;
Change-Id=I4e83253f636cf7f125db28385cfd23b7d67c2153; subject=net/mlx5: Make sure we put ldev even if lag is active; feature=mlx5_single_fdb_lag; upstream_status=in_progress; general=;
Change-Id=Ia3affcec55b5a3318541eb22efabdd1fa065ba76; subject=IB/addr: Check if IPV6 module is enabled; feature=ib_core_bugs; upstream_status=in_progress; general=;
